src,tgt
1-10-4=,-13
21*7-9=,138
9-23+18=,4
6+27+19=,52
7-21*24=,-497
15*14*21=,4410
19+21*4=,103
14*13*8=,1456
27*12+17=,341
21-7+23=,37
12*7*18=,1512
17*12*9=,1836
9-12+17=,14
15*29*25=,10875
17*0+8=,8
11-16*29=,-453
5-22*8=,-171
25*14+29=,379
13-12*23=,-263
10-2+24=,32
24+26+23=,73
2-1+11=,12
5*12*25=,1500
3+10*14=,143
29*27*28=,21924
19-5-14=,0
17*11+26=,213
13+27-19=,21
4-4*3=,-8
23-23*20=,-437
2+9*13=,119
27+7+29=,63
1-14-9=,-22
19+19-25=,13
3+5+27=,35
26+16*19=,330
0*18-16=,-16
5-17-3=,-15
27+24-20=,31
17*6+4=,106
25+26+23=,74
14+29-17=,26
28*2+13=,69
23*11*2=,506
1*19+28=,47
10*7*21=,1470
21*19-22=,377
20+12-16=,16
16-29*19=,-535
25-27*18=,-461
24+19+13=,56
3*17*28=,1428
10+0-4=,6
13-17-18=,-22
13+25*8=,213
23+11-4=,30
22*26-29=,543
10*29*7=,2030
20+21-3=,38
18-19+12=,11
23*20-7=,453
23+1+28=,52
0+22+26=,48
3+18*8=,147
17*12*8=,1632
10+6+24=,40
0-29+9=,-20
26+23+16=,65
24*25*24=,14400
10-19-14=,-23
26*27*29=,20358
12*3*3=,108
2+6*2=,14
13-18+4=,-1
16*17+10=,282
0+1+11=,12
22-26+15=,11
11*16*23=,4048
29*14-15=,391
10*11-7=,103
3*21-1=,62
9*12+14=,122
1+15-16=,0
11+29-19=,21
18-17+2=,3
4+6*26=,160
19+25-17=,27
13-5+12=,20
29-4+20=,45
26+6+20=,52
3+5*1=,8
25-9-27=,-11
17+13*2=,43
25-11+21=,35
16-8*2=,0
12-22-21=,-31
29-23*29=,-638
16-26-11=,-21
25-23-16=,-14
7-12*15=,-173
6+3+21=,30
3*4*6=,72
7-27*29=,-776
14*1+0=,14
15-13+6=,8
12-7+14=,19
26*4+6=,110
12*28+18=,354
18*20-20=,340
3-5+15=,13
25-26+14=,13
1-13*17=,-220
11-1*2=,9
23-11*18=,-175
22-29*1=,-7
24-11-20=,-7
8+3-23=,-12
11+2*24=,59
7*11-27=,50
27+1-11=,17
20*9+12=,192
2+21*1=,23
10+27-4=,33
26*29*22=,16588
20-10-9=,1
7+4+6=,17
7+16*20=,327
10+21+3=,34
10+25*10=,260
27+25+1=,53
23+28-26=,25
4+9*10=,94
8-26+21=,3
24-28+20=,16
5+7+14=,26
18*7*15=,1890
8-25+7=,-10
3*8+12=,36
7+18+8=,33
11-14-5=,-8
6+27*5=,141
27-26-1=,0
16+6*15=,106
13+12-9=,16
28-2*6=,16
15+8+15=,38
15*17-24=,231
14*23+17=,339
2+18*28=,506
1*27-9=,18
18-19-12=,-13
22+29+8=,59
7+20-14=,13
22-20+5=,7
6*0-13=,-13
26-19-20=,-13
15+14+2=,31
4+26+13=,43
22+26-24=,24
6*10+29=,89
25-11*3=,-8
12+9+9=,30
9+22+15=,46
25-15*25=,-350
27+15*9=,162
17*10+3=,173
28+18-1=,45
20+8*22=,196
27+6-29=,4
9*4+3=,39
12+12-26=,-2
25+7-14=,18
12*28+28=,364
10-1+18=,27
20+20*0=,20
10*2+15=,35
2*10*8=,160
0+25-2=,23
0*23*25=,0
10+18*14=,262
14+9+5=,28
0+24+11=,35
20*3*24=,1440
17+28+12=,57
8*28-17=,207
12+3-8=,7
11-25+0=,-14
5*2*1=,10
15-3*3=,6
3+22-7=,18
20-19-28=,-27
0*20+4=,4
17-4-24=,-11
28+14*23=,350
16-8*18=,-128
28*5-4=,136
7-24-24=,-41
16+3*27=,97
3-12-20=,-29
29*1+15=,44
4+1*1=,5
15+22*24=,543
27-2*12=,3
21-21-17=,-17
22+27+8=,57
5-18+21=,8
7*13+13=,104
24+28+17=,69
8*12+3=,99
18*23+14=,428
18-24+1=,-5
12+24*27=,660
15*8+13=,133
5+3-27=,-19
16-15*21=,-299
11+3*27=,92
9-26-10=,-27
4*3-20=,-8
8-7+16=,17
19*12+14=,242
14+17+19=,50
0*22-10=,-10
16-21+2=,-3
12*10*24=,2880
5*18-20=,70
7+10-27=,-10
11+3*12=,47
11+12+26=,49
2-10+9=,1
9-6*26=,-147
7-3*16=,-41
20*0-6=,-6
21*27-18=,549
11-28+16=,-1
18*14*28=,7056
18-26*29=,-736
9+9-25=,-7
3-28*4=,-109
18*3+18=,72
23-4*3=,11
28*28+7=,791
13-16*14=,-211
4+16*24=,388
1*21+15=,36
11*3-0=,33
3+20+11=,34
23-3*19=,-34
28+12+8=,48
2+15*23=,347
29-17+20=,32
26*3+20=,98
11-10*3=,-19
1*27*14=,378
1+20+22=,43
0*1+28=,28
8+23*16=,376
7+20*8=,167
19+24*22=,547
7-24-13=,-30
2-7-23=,-28
13-22-13=,-22
20-14-10=,-4
23-24+24=,23
17-28-29=,-40
25+12*22=,289
12*25*13=,3900
1*6*23=,138
11-1+19=,29
22*29*18=,11484
8-2-12=,-6
6*6-4=,32
16*5*25=,2000
7+0-27=,-20
6*26-2=,154
25+24-12=,37
10*20+2=,202
22+15-19=,18
3-28+27=,2
24+13*25=,349
3+23*18=,417
20*2-12=,28
18+25-29=,14
0*5+0=,0
3+26+18=,47
25*0+22=,22
29-24-29=,-24
19-6*2=,7
0+0+5=,5
0*4*19=,0
11+15-26=,0
5-24*6=,-139
19+4+29=,52
13-18+23=,18
13*4+17=,69
12*18+0=,216
19+27+22=,68
19+28-12=,35
29-3*3=,20
11-27*24=,-637
25*13*13=,4225
8*0+23=,23
7*28*6=,1176
3+7*3=,24
18*13-14=,220
20+7-23=,4
25-12-19=,-6
15-23-14=,-22
6*11-7=,59
0*6+27=,27
17*18*19=,5814
10*6*21=,1260
22-15*9=,-113
27-14+2=,15
19-28*9=,-233
21-18-18=,-15
28+20-0=,48
28*29+10=,822
26*2*17=,884
12*13-13=,143
5*26-27=,103
20+22+8=,50
2*20-25=,15
14-26-26=,-38
24+2-10=,16
6+12-11=,7
25-2+27=,50
29*13-26=,351
17-21*21=,-424
20*28*23=,12880
20*6+9=,129
28+8*28=,252
5*28*18=,2520
8*16*0=,0
0-27*4=,-108
0-28+16=,-12
21*24-20=,484
2*24*14=,672
10+24*5=,130
22*19*6=,2508
27*19-28=,485
11+3-2=,12
23*19*15=,6555
22*10*18=,3960
6*9-1=,53
28*28*26=,20384
19*24*20=,9120
4*24*4=,384
14-18*15=,-256
0+3-21=,-18
18+18-14=,22
15*20*15=,4500
3-19+20=,4
13*18-4=,230
4+26+16=,46
28*13-28=,336
16-4*18=,-56
10+20*17=,350
1-8-26=,-33
3*2*24=,144
26*20*22=,11440
22+9+15=,46
22*11*8=,1936
8+5*15=,83
20*16-10=,310
24-15+12=,21
9+5-13=,1
27-23*1=,4
6*6*16=,576
9*20+8=,188
17+9-12=,14
9*15-18=,117
21+22*3=,87
7*21+5=,152
13-24*14=,-323
4+23*5=,119
7+9*3=,34
17+20*27=,557
1+15+12=,28
6+28*2=,62
1+21-10=,12
14+6+0=,20
11+8-7=,12
3+15+10=,28
29-1-26=,2
1+3-28=,-24
13*2+4=,30
1*29*15=,435
28-9+29=,48
14+21*13=,287
4*20*22=,1760
9*22-21=,177
13-21-7=,-15
25-27*23=,-596
9-4*8=,-23
23*2-27=,19
7+0*24=,7
17*4*19=,1292
11-11+2=,2
16-10-28=,-22
3-6+24=,21
19-1-14=,4
20-22*23=,-486
20+23*25=,595
4-22-26=,-44
27+22-17=,32
18-0*2=,18
23-23+13=,13
18-16-4=,-2
0+6-0=,6
7+15-19=,3
27+21+0=,48
15-17*4=,-53
11+10+24=,45
3-14+19=,8
0+9*5=,45
6+20+5=,31
2*25-4=,46
16+5-29=,-8
6-2*21=,-36
28*11*1=,308
0-23+24=,1
1*25*18=,450
11+7*28=,207
23-1+15=,37
1*27+16=,43
7+11-5=,13
3*5*24=,360
3+22*10=,223
28+11+16=,55
0*26+7=,7
20-11*9=,-79
7*29-6=,197
10+7-20=,-3
18+12+1=,31
0+16+13=,29
22+1*25=,47
13+7*22=,167
22*17*3=,1122
29*25*23=,16675
28-16-10=,2
19+6-21=,4
29*2*14=,812
1*4-3=,1
20-7-4=,9
17*15*10=,2550
18*13+24=,258
25*11*25=,6875
11*7*23=,1771
2+20*19=,382
0*3-14=,-14
14*13+10=,192
26*21*19=,10374
27+2+7=,36
5-13-27=,-35
21*23+24=,507
13*19-6=,241
6+22*0=,6
3-0-11=,-8
9-0*16=,9
20+4-28=,-4
26+10+5=,41
1*8*22=,176
20*29-14=,566
20-7*27=,-169
7+1*5=,12
11-8*28=,-213
24-11+7=,20
27-29-9=,-11
0+19+3=,22
17+0-12=,5
0*2+20=,20
5*10-7=,43
2+0-26=,-24
17+3-22=,-2
26-13-17=,-4
19+9-27=,1
1-18+29=,12
12*2*28=,672
7*5*21=,735
25*1+10=,35
19+16*20=,339
0*22+4=,4
6-6-5=,-5
18-2+6=,22
28+29*7=,231
25*15+23=,398
1+17-16=,2
22*29+9=,647
14-17+13=,10
9*2*3=,54
20*9*4=,720
20+1+25=,46
6*13-22=,56
24+20*28=,584
22+20-29=,13
20+12-21=,11
3-23-27=,-47
5-21-2=,-18
25-7-11=,7
7-13+23=,17
8*15*12=,1440
23*18+21=,435
23+1+6=,30
18*2*13=,468
18+4+10=,32
19*2-7=,31
26+26*9=,260
17-7+3=,13
0+25-16=,9
8*5*24=,960
27+29+17=,73
25-26-8=,-9
7*9-6=,57
7*4*22=,616
1*13*6=,78
2+6*1=,8
2*11-8=,14
2-13*1=,-11
26-28-19=,-21
11-10-19=,-18
2*4-8=,0
6-11*27=,-291
29+16*18=,317
3*9*29=,783
15-22+16=,9
26+24-16=,34
28-24*2=,-20
16+20*22=,456
3*20-26=,34
23+19*22=,441
4+4*16=,68
17-0+13=,30
21*19-26=,373
2-5+17=,14
8+17*15=,263
19*26-12=,482
8-0*8=,8
2-1*3=,-1
21+10+13=,44
4*17+24=,92
21*16-11=,325
13-5+26=,34
27*26*9=,6318
22+19+4=,45
3-8+4=,-1
12*14*3=,504
25-20*21=,-395
19-3*29=,-68
25*16*0=,0
0+22*19=,418
13+16+19=,48
15*17*3=,765
0*13-2=,-2
0-0-8=,-8
17-2+19=,34
2-2*17=,-32
24+27*18=,510
18*20*3=,1080
12*22+0=,264
9*15*24=,3240
6-25*13=,-319
20-10+27=,37
6+29+29=,64
18+11+14=,43
0+18*8=,144
29*9+8=,269
2+13+18=,33
13+12+13=,38
12+1+23=,36
7*12+25=,109
23+12-11=,24
11+19+6=,36
16*22-1=,351
19-11*27=,-278
6-3-21=,-18
23+27+5=,55
9*14*4=,504
7-8*14=,-105
16-24*14=,-320
12*23-11=,265
12-12+15=,15
14*1+18=,32
13-20-26=,-33
20*9*23=,4140
11+19+4=,34
15-22*25=,-535
27-18+15=,24
22+14-11=,25
5+21-18=,8
15+9-12=,12
13+16-7=,22
14+11*25=,289
13+16+0=,29
18+10-23=,5
4+16+16=,36
9*9+9=,90
11-28*23=,-633
11+0*11=,11
1-4-9=,-12
8*24+12=,204
8+1*10=,18
19+1*14=,33
23-13+15=,25
17*23+27=,418
19+2+17=,38
26*21*1=,546
11-6*15=,-79
17+0-22=,-5
4-0-7=,-3
21*23-12=,471
7-23-7=,-23
17+18-25=,10
0-29+0=,-29
14-26+27=,15
7-4+13=,16
21*21*5=,2205
3*21-8=,55
3+28*0=,3
11*2-27=,-5
15*25*11=,4125
15+1+17=,33
19+1+29=,49
27*1-20=,7
20*26+29=,549
29*7-23=,180
16-4-7=,5
28+9-6=,31
24-13+25=,36
29*19*6=,3306
4+8-19=,-7
13-14+28=,27
4*19+20=,96
0-18*6=,-108
3+21+16=,40
7*26*15=,2730
19+28-22=,25
8-6+11=,13
24-11-13=,0
17-29-0=,-12
10+19*1=,29
1+15+20=,36
14*20-15=,265
15+11*10=,125
1*23+12=,35
7+0+15=,22
9+8*6=,57
27*21-15=,552
7-9-16=,-18
19-26-17=,-24
27*7*28=,5292
27*6-3=,159
18-10-9=,-1
5*23-24=,91
24+14*26=,388
23+28*0=,23
25*29*28=,20300
25+12*19=,253
17+10-19=,8
9*23*20=,4140
17+6-2=,21
7+11-6=,12
7*6+4=,46
19-19*1=,0
10+8*2=,26
28+12-24=,16
24*22-23=,505
20*16+13=,333
7*24-29=,139
1-27+22=,-4
11-11*9=,-88
7+21-16=,12
11*22+20=,262
13-0+13=,26
29+4+0=,33
13*28*22=,8008
13+7+24=,44
29*26*16=,12064
26-21*1=,5
11*19+3=,212
21*22+21=,483
15+20-6=,29
10*18-13=,167
2+6+7=,15
14+1*25=,39
21+17+8=,46
3-0-21=,-18
21*22*21=,9702
19*23+19=,456
14*26+5=,369
17*18-26=,280
28*27*5=,3780
4-14+6=,-4
2+18-29=,-9
24+22+27=,73
5-12*3=,-31
18*15-16=,254
11*20+24=,244
0*25+28=,28
6*9+23=,77
28*11*22=,6776
15+7+1=,23
7+9-24=,-8
18*24+27=,459
14*16*5=,1120
21+8-27=,2
20-4-10=,6
20*16+23=,343
22-25+3=,0
6+12*14=,174
1+20*8=,161
11+26+1=,38
1*3+8=,11
1*5+19=,24
8+23-4=,27
27-21*17=,-330
2*26*23=,1196
29-18+17=,28
15-23*1=,-8
22-5+3=,20
8-28+13=,-7
13*28-26=,338
8-19+25=,14
9*14-1=,125
7*16-22=,90
16-8+22=,30
16-9*17=,-137
5-12+19=,12
28+0+20=,48
11-18+12=,5
28-21-0=,7
22*10+14=,234
22+25-4=,43
19*18*18=,6156
3*20+2=,62
7*4-9=,19
6-22*17=,-368
16*20-6=,314
9-3*15=,-36
13*18*18=,4212
22+14*19=,288
29*19*2=,1102
27-5-3=,19
2*20+26=,66
8+24+12=,44
5+11+22=,38
11-10+15=,16
26+13+12=,51
25-4-6=,15
1+3-23=,-19
17*27+8=,467
15-20-19=,-24
15*25*29=,10875
6*18*1=,108
18*23-4=,410
9+4+28=,41
19+11*2=,41
21+17-7=,31
29*13*27=,10179
10-4+3=,9
23+4+5=,32
22-4*6=,-2
3+11-6=,8
27-27*16=,-405
8+11+13=,32
21-29*13=,-356
5-18+11=,-2
10-22+14=,2
0-7+12=,5
4-15+5=,-6
5*21+6=,111
3-27*18=,-483
26-19*18=,-316
2+19-6=,15
8-15*23=,-337
25+0*18=,25
17-22*12=,-247
22*28*4=,2464
14+10*26=,274
24+13*3=,63
27-29-10=,-12
2+12-19=,-5
8+25*27=,683
9*9+19=,100
26-6+10=,30
27*11*11=,3267
7-13-3=,-9
3-28-20=,-45
16+9-28=,-3
15-7+3=,11
2-3-21=,-22
0-27*29=,-783
16-0+1=,17
5-17-17=,-29
7+6*6=,43
13-12+28=,29
8*16*27=,3456
20+19*19=,381
22+11*22=,264
12+11-11=,12
18-7*7=,-31
10-23*21=,-473
20+1+12=,33
15+4-3=,16
11*20*11=,2420
17+2-0=,19
13*23+10=,309
25+21-7=,39
26*12-0=,312
23-28*17=,-453
16*27*9=,3888
12+15+29=,56
9+24*26=,633
12-15*28=,-408
28-25-14=,-11
2*20*17=,680
13-24+9=,-2
28-7+28=,49
17*7*9=,1071
12-29-16=,-33
12-19+3=,-4
15+23-12=,26
28-19*24=,-428
2-15*5=,-73
5+24+29=,58
10-28*26=,-718
27+16*1=,43
16*20+27=,347
28*17-14=,462
26+26-9=,43
17-12+26=,31
27-22+19=,24
28*25+11=,711
10*5-11=,39
24-22*9=,-174
11+20*1=,31
23+18*6=,131
6+5-29=,-18
26-12+28=,42
23*4-0=,92
8*29-11=,221
16+3*7=,37
3-29+8=,-18
19+11+27=,57
19-1-11=,7
11+9+6=,26
5+7*5=,40
5*0+5=,5
24*15*2=,720
12-2+24=,34
0-20+1=,-19
0*28+6=,6
22*25-1=,549
1*16*27=,432
15*13+17=,212
18*3*22=,1188
11-22*19=,-407
29*0-7=,-7
1+15+4=,20
14*8*23=,2576
6-9+24=,21
10-16*14=,-214
11*14-27=,127
21+18*28=,525
14*16*26=,5824
0*25*4=,0
11-28+15=,-2
11+29-3=,37
5-20*25=,-495
26*15*14=,5460
24+4+25=,53
9*13+17=,134
6-1+11=,16
17-21*27=,-550
15*10*6=,900
9-15+20=,14
7*18+9=,135
16*24*13=,4992
19-10+18=,27
16+8-1=,23
27*11-22=,275
7+28*7=,203
28-7-25=,-4
20*17+14=,354
9-18+14=,5
10-28+6=,-12
1*10+12=,22
20+27-14=,33
19*1+4=,23
16-7+20=,29
20+17+3=,40
26*0*15=,0
25*23-24=,551
8*20+3=,163
11-11*24=,-253
19+24+18=,61
27-2*6=,15
12*8+18=,114
1*7+26=,33
15-23-4=,-12
25-19-9=,-3
8*27+25=,241
21+24*29=,717
7*13+17=,108
2-16-7=,-21
24+9+8=,41
2+12+21=,35
17+18-12=,23
20*23+11=,471
9+26+24=,59
17+22-2=,37
21*11+20=,251
10+20-4=,26
29-14+26=,41
17-27*14=,-361
25-2+4=,27
21-17-28=,-24
9*12*23=,2484
14-13+22=,23
1-10+23=,14
12*10+19=,139
2-21-17=,-36
17+1*8=,25
14-23-13=,-22
10+8+12=,30
9*21+9=,198
9+6-13=,2
14*17-28=,210
0+25-23=,2
27-10-8=,9
23+13*0=,23
16*23-6=,362
10+28+8=,46
3*4+9=,21
16*17-23=,249
27*7*16=,3024
13+4+11=,28
10*1+7=,17
27-7-21=,-1
18*16*20=,5760
6+29+5=,40
6+15*28=,426
1-25+29=,5
26*21-4=,542
11-8*29=,-221
16*3*14=,672
29*15*20=,8700
25+16+15=,56
1*6*24=,144
11-27+5=,-11
29*8*15=,3480
0-5-18=,-23
26*26-21=,655
21-12*15=,-159
8-29+1=,-20
22+27*7=,211
26-24-14=,-12
12-10*5=,-38
28+9*3=,55
14-21-23=,-30
11+20+29=,60
22*17*14=,5236
17+11+19=,47
15+13+19=,47
1*25*17=,425
2+6+14=,22
18+20-8=,30
21-25*28=,-679
11+12-18=,5
10+20*15=,310
6+8*3=,30
12*27*8=,2592
14+14*25=,364
0+14-23=,-9
16-7+11=,20
13-2+8=,19
18*9+19=,181
3+1*16=,19
5*28+16=,156
11*6-17=,49
26+0-20=,6
23*22+29=,535
21-21*26=,-525
4-7*13=,-87
3*26*8=,624
16+1-11=,6
21*26-10=,536
28*2-12=,44
15+0+17=,32
19+2+14=,35
29*8-20=,212
1*4-10=,-6
15+2-29=,-12
9*19-19=,152
13+0+17=,30
22+28+29=,79
5-18*8=,-139
27-25*13=,-298
29*10*17=,4930
22+5*24=,142
22+9+25=,56
10-17-4=,-11
5+9-27=,-13
26*9+23=,257
2*25-21=,29
1*5+15=,20
3-11+23=,15
13*26*17=,5746
2*13+22=,48
12*14*7=,1176
12*25+15=,315
26*14*25=,9100
1*1*4=,4
10+6-11=,5
22*11*0=,0
21*4+9=,93
24-10-14=,0
7*3*25=,525
15-9*28=,-237
3+3-5=,1
2+25*20=,502
21-19+10=,12
18*18+25=,349
9-16*25=,-391
13+0+11=,24
0*19*1=,0
17*6*5=,510
24*13-21=,291
29*22-24=,614
14*20+6=,286
6*12*5=,360
4*22+25=,113
29-7*18=,-97
15+17+12=,44
23*11-9=,244
19-11*3=,-14
26-19+8=,15
14+5*2=,24
29+11*18=,227
7-2-2=,3
4*11*10=,440
21+6-22=,5
17-20-3=,-6
24+28-20=,32
13+5*25=,138
0-8+5=,-3
20+8*1=,28
27+12-29=,10
22-27+7=,2
15+19-26=,8
8*4+24=,56
7*20*17=,2380
15*13-3=,192
22-28+2=,-4
12-7+0=,5
17+24*22=,545
6-8+16=,14
13*2+15=,41
10*19+28=,218
0+5-16=,-11
22+23*6=,160
13-19+14=,8
28-6-5=,17
1*6*20=,120
29+10+8=,47
1+10*22=,221
18*29*24=,12528
24*12-1=,287
5-0*27=,5
1+20+12=,33
8-13-9=,-14
20-3+8=,25
2+19+6=,27
24*16*17=,6528
28*21-14=,574
6*2+8=,20
3+23+16=,42
20-0+3=,23
17+3*12=,53
11*1*29=,319
21*13-10=,263
20-26-3=,-9
20*24+21=,501
23+0*15=,23
9+16+21=,46
23-6+5=,22
2-14*5=,-68
15*11+2=,167
23*25-11=,564
27-16*1=,11
11*26*16=,4576
22-2+25=,45
20-28-18=,-26
24-8+18=,34
6*13*6=,468
26*6+20=,176
28+17-16=,29
18-0+28=,46
21-14*23=,-301
6*23*27=,3726
18-14*1=,4
26*10+22=,282
5*25+15=,140
10*25-13=,237
21-27*18=,-465
10-7-28=,-25
24+24*15=,384
1+12*17=,205
2+29*24=,698
14+7*2=,28
14+26+6=,46
29+14-2=,41
0-15-29=,-44
20+29+15=,64
2+20+10=,32
11+24-27=,8
14+15-8=,21
13+8-20=,1
27+26+26=,79
4*5+24=,44
8-6*18=,-100
14*17+18=,256
4+2+8=,14
25*3*22=,1650
22-8+24=,38
23-0+10=,33
15*16-4=,236
20+17-23=,14
17*16+23=,295
19-3-6=,10
24-25-12=,-13
27-25*26=,-623
14-10+23=,27
17-8+28=,37
23-19+20=,24
25+12*9=,133
6*6+15=,51
6*2*22=,264
28*29+27=,839
10-29*11=,-309
10-8+9=,11
8+26+13=,47
4+1*2=,6
5*14+11=,81
8-26*5=,-122
19*15+3=,288
5-8+21=,18
13+3+5=,21
22*0-24=,-24
6-5*18=,-84
20+14-7=,27
9-1+11=,19
22-19*0=,22
4+29-0=,33
26*23-6=,592
22+11-19=,14
22-17-22=,-17
21-11+2=,12
14-7+25=,32
20*7*12=,1680
2*4-6=,2
17*28+17=,493
23+1+29=,53
2-23-18=,-39
11*21*12=,2772
18+23+3=,44
6+4+26=,36
13+12+7=,32
29-14+15=,30
7*10+6=,76
10-14+7=,3
17*13+18=,239
7+26+8=,41
21*3-4=,59
2-0-28=,-26
9-10*27=,-261
6+4-24=,-14
20-13-16=,-9
28-19+7=,16
7+14-13=,8
10-29-20=,-39
11*15*23=,3795
4+26+6=,36
10*23-13=,217
22*23-9=,497
3+4-8=,-1
18-18*17=,-288
25-21*4=,-59
15+11*12=,147
10+25*26=,660
26+2+4=,32
4-0-10=,-6
27*3-4=,77
8+7+18=,33
28-21-13=,-6
11*4+13=,57
20-6-11=,3
2+10+23=,35
19+14*24=,355
22*23+13=,519
21*4+12=,96
0-14+2=,-12
4+25*7=,179
21-23-25=,-27
15*27+19=,424
10-17+27=,20
8+13+2=,23
11*3*11=,363
9*0*11=,0
21*28-21=,567
28*21-29=,559
27+17+15=,59
18*28*8=,4032
6*6-2=,34
29+14+16=,59
12-15-0=,-3
17-15+26=,28
6-10*20=,-194
5-27+5=,-17
22-5*15=,-53
28+23+23=,74
0+12+27=,39
14+24*2=,62
29+14-22=,21
27*20+10=,550
18+23*8=,202
15-2*27=,-39
18*12*3=,648
28+5*8=,68
0+28-26=,2
19+25*17=,444
29+11+16=,56
3*24+20=,92
20-29+0=,-9
9+10+26=,45
19-6*27=,-143
16*28*23=,10304
23+29-8=,44
1*18-8=,10
11*6-15=,51
20*5-10=,90
16*10+7=,167
9*29+14=,275
25+27*17=,484
7+26-18=,15
25-0+23=,48
1*0*12=,0
13-29*15=,-422
21*4-24=,60
11+29*11=,330
9-11-24=,-26
20*3*17=,1020
18-21*28=,-570
1+15+7=,23
28+4*10=,68
11-24+29=,16
4+27-7=,24
25*5*15=,1875
3-13-15=,-25
3+18+14=,35
5-6*12=,-67
13+23*6=,151
5*5+17=,42
2-12-9=,-19
0*5+29=,29
12+11-10=,13
18-21*22=,-444
14+13-11=,16
1*1+16=,17
24+3+14=,41
9*11*28=,2772
22+26-25=,23
21-12*21=,-231
25*19-23=,452
21-23-14=,-16
19*4+25=,101
7-16*22=,-345
2+21+24=,47
24*9+18=,234
21+2-16=,7
8+10+21=,39
13*8*18=,1872
20-15+15=,20
9+19+5=,33
19*8+18=,170
19+14-8=,25
11+11*25=,286
17*24+20=,428
29-0-16=,13
1-26-5=,-30
2+27*14=,380
16-27-17=,-28
28-16-12=,0
8-11+9=,6
22-13+27=,36
25-9+3=,19
23-24+19=,18
26+20-7=,39
27+6*10=,87
23+29+5=,57
21*17+7=,364
0-13-15=,-28
23-3*15=,-22
8*18-2=,142
8-20-13=,-25
29-19*3=,-28
17*4*13=,884
20-25-28=,-33
21+10-29=,2
15+16-25=,6
0-21-25=,-46
22*3+4=,70
29-11-22=,-4
14+10-9=,15
6-18+8=,-4
7*24-22=,146
9+25-8=,26
9*2-2=,16
19-7+12=,24
5*5-28=,-3
19*27-18=,495
23-19*12=,-205
1*6+8=,14
16+9+7=,32
21*29-18=,591
28*20*22=,12320
20-2+14=,32
4-1+9=,12
28+10*24=,268
0*24*19=,0
1*20-8=,12
3*10+15=,45
20+6+0=,26
28-7+12=,33
25-5+12=,32
8+8-4=,12
5+7+6=,18
6-4*9=,-30
23+6+8=,37
12+15+21=,48
21-19+19=,21
4+4*21=,88
27+11*24=,291
15*11+22=,187
4*16+3=,67
20+4*16=,84
15-18+29=,26
8*21*21=,3528
22-3-23=,-4
18*27-6=,480
11+19*8=,163
5+19*2=,43
0*15-24=,-24
0-14+16=,2
16*21-16=,320
9-0*7=,9
5+26+17=,48
13-3+19=,29
2*23+15=,61
26-8*25=,-174
7*25+25=,200
26-19-18=,-11
14-15-3=,-4
20-9+5=,16
17-25*7=,-158
18-14*23=,-304
4+29-22=,11
27-17-22=,-12
23-23-9=,-9
23*16+1=,369
28*24-23=,649
28*17-11=,465
28-6*1=,22
15*18*26=,7020
16+9*0=,16
0+17+15=,32
4-7*5=,-31
3+13+18=,34
24*15-2=,358
21*24*8=,4032
21-7-12=,2
18*9*15=,2430
9*21+22=,211
20+29*25=,745
18*24*17=,7344
2-5+5=,2
27+13+18=,58
3+6-15=,-6
5+19*3=,62
26*9+9=,243
21-8-27=,-14
11*10+29=,139
20+21+20=,61
21+0*19=,21
19+17+2=,38
15*26+23=,413
3*27+2=,83
10-10*22=,-210
15*17-15=,240
23+1*0=,23
22*25+22=,572
24*21*17=,8568
18*5*0=,0
1*0-28=,-28
13+16-18=,11
2-8-4=,-10
24*13+15=,327
21-15-4=,2
12+7*13=,103
11*11-10=,111
22-8*15=,-98
16*28*5=,2240
24-7*21=,-123
1-18-5=,-22
8-8+9=,9
29-2-23=,4
6*10-15=,45
5-23-18=,-36
23*14+3=,325
18*1*22=,396
19+29+1=,49
15+8*14=,127
28*8-24=,200
17*25*14=,5950
15+22*15=,345
28*25+26=,726
13*23*19=,5681
17-24+21=,14
24-24*16=,-360
7-27-23=,-43
12+3*28=,96
14-0-5=,9
13+18*0=,13
3-20*9=,-177
28*2+4=,60
29*15-18=,417
10*2-14=,6
19*15*18=,5130
6-21-29=,-44
13-4+12=,21
24-24*21=,-480
0*23+11=,11
7+28+0=,35
29+1+12=,42
29+28*0=,29
24*20+18=,498
1*12*1=,12
27+18-0=,45
2*26-3=,49
19+14+0=,33
24-8*12=,-72
15-24*20=,-465
10*9-4=,86
16*24*9=,3456
27-10-27=,-10
7+19*4=,83
7*18-16=,110
18*18+18=,342
27-15*29=,-408
14*5+6=,76
3+3*11=,36
6*12+13=,85
11+13-9=,15
6*23*22=,3036
14+4*28=,126
4+14*21=,298
27*4-20=,88
16+14-29=,1
28*7-13=,183
1*10-10=,0
8-19-5=,-16
4-13-14=,-23
4-19+13=,-2
14+16*29=,478
14-27*4=,-94
9-12-3=,-6
7-27-1=,-21
28-4+9=,33
13-6-21=,-14
27*12-25=,299
20+20+11=,51
19-22+26=,23
8+17-29=,-4
6-14-25=,-33
28*0-14=,-14
24+24*22=,552
4*18+28=,100
6*13+11=,89
3+29+0=,32
10*23+6=,236
26-29+29=,26
16-27-25=,-36
20*24+29=,509
16+26*24=,640
15-2*17=,-19
18*12-23=,193
12*6*7=,504
10-26*12=,-302
10*18*23=,4140
0*12*15=,0
6*9-25=,29
16-28-1=,-13
26+14*14=,222
16*1-0=,16
25*29*6=,4350
